,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists,Rating
0,Łukasz Piszczek,2017/2018,Borussia Dort..,Germany-Bundesliga,GB,24,2140,1,-,-,-,-,2,3,7.19
0,Łukasz Piszczek,2017/2018,Borussia Dort..,Europe-UEFA-Europa-League,UEL,3,270,-,-,1,-,-,-,1,6.95
0,Łukasz Piszczek,2017/2018,Borussia Dort..,Europe-UEFA-Champions-League,UCL,2,180,-,-,-,-,-,-,-,6.77
0,Łukasz Piszczek,2016/2017,Borussia Dort..,Germany-Bundesliga,GB,25,2036,1,-,-,-,-,-,1,7.10
0,Łukasz Piszczek,2016/2017,Borussia Dort..,Europe-UEFA-Champions-League,UCL,9,673,-,-,1,-,-,-,1,6.60
0,Łukasz Piszczek,2015/2016,Borussia Dort..,Germany-Bundesliga,GB,20,1519,2,-,-,-,-,1,3,7.15
0,Łukasz Piszczek,2015/2016,Borussia Dort..,Europe-UEFA-Europa-League,UEL,9,737,-,-,-,-,-,1,1,7.09
0,Łukasz Piszczek,2014/2015,Borussia Dort..,Germany-Bundesliga,GB,22,1654,-,-,-,-,-,1,1,6.79
0,Łukasz Piszczek,2014/2015,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,392,2,-,1,-,-,-,3,7.31
0,Łukasz Piszczek,2016,Poland,International-European-Championship,UEC,4,360,-,-,-,-,-,-,-,7.15
0,Łukasz Piszczek,2013/2014,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,349,-,-,-,-,-,1,1,6.44
0,Łukasz Piszczek,2013/2014,Borussia Dort..,Germany-Bundesliga,GB,19,1405,-,-,-,-,-,-,-,6.98
0,Łukasz Piszczek,2012/2013,Borussia Dort..,Germany-Bundesliga,GB,29,2533,1,-,-,-,-,7,8,7.23
0,Łukasz Piszczek,2012/2013,Borussia Dort..,Europe-UEFA-Champions-League,UCL,12,1073,-,-,-,-,-,1,1,7.43
0,Łukasz Piszczek,2012,Poland,International-European-Championship,UEC,3,270,-,-,-,-,-,-,-,6.88
0,Łukasz Piszczek,2011/2012,Borussia Dort..,Germany-Bundesliga,GB,32,2800,1,-,1,-,-,5,7,7.50
0,Łukasz Piszczek,2011/2012,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,-,-,-,6.97
0,Łukasz Piszczek,2010/2011,Borussia Dort..,Germany-Bundesliga,GB,33,2671,3,-,-,-,-,2,5,6.98
0,Łukasz Piszczek,2009/2010,Hertha Berlin,Germany-Bundesliga,GB,31,2430,-,-,-,-,-,1,1,6.88
0,Victor Lindelöf,2017/2018,Manchester Un..,Europe-UEFA-Champions-League,UCL,5,450,-,-,-,-,-,-,-,6.98
0,Victor Lindelöf,2017/2018,Manchester Un..,England-Premier-League,EPL,17,1284,-,-,-,-,-,-,-,6.66
0,Victor Lindelöf,2016/2017,Benfica,Portugal-Liga-NOS,PLN,32,2880,-,-,-,-,-,-,-,7.03
0,Victor Lindelöf,2016/2017,Benfica,Europe-UEFA-Champions-League,UCL,8,720,-,-,-,-,-,-,-,6.57
0,Victor Lindelöf,2015/2016,Benfica,Europe-UEFA-Champions-League,UCL,4,360,-,-,-,-,-,-,-,6.65
0,Victor Lindelöf,2015,Sweden U21,International-EURO-U-21,IEU,5,405,-,-,-,-,-,-,-,6.61
0,Victor Lindelöf,2016,Sweden,International-European-Championship,UEC,3,270,-,-,-,-,-,-,-,6.41
