,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Total_Shots,OutOfBox,SixYardBox,PenaltyArea,Rating
0,Alberto Rodríguez,2010/2011,Braga,Europe-UEFA-Champions-League,UCL,5,396,1,-,-,1,6.87
1,Johnny Acosta,2014,Costa Rica,International-FIFA-World-Cup,WC,2,103,1,-,1,-,6.53
2,James Meredith,2017/2018,Millwall,England-Championship,EC,46,4009,5,1,-,4,6.84
3,Lionel Messi,2017/2018,Barcelona,Spain-La-Liga,SLL,36,2997,197,92,12,93,8.68
4,Lionel Messi,2017/2018,Barcelona,Europe-UEFA-Champions-League,UCL,10,783,44,25,2,17,8.03
5,Lionel Messi,2016/2017,Barcelona,Spain-La-Liga,SLL,34,2833,179,75,6,98,8.47
6,Lionel Messi,2016/2017,Barcelona,Europe-UEFA-Champions-League,UCL,9,810,38,15,3,20,8.24
7,Lionel Messi,2015/2016,Barcelona,Spain-La-Liga,SLL,33,2730,158,65,9,84,8.46
8,Lionel Messi,2015/2016,Barcelona,Europe-UEFA-Champions-League,UCL,7,630,39,15,2,22,8.28
9,Lionel Messi,2015,Argentina,International-Copa-America,ICA,6,540,27,14,2,11,8.24
10,Lionel Messi,2014/2015,Barcelona,Spain-La-Liga,SLL,38,3375,187,59,16,112,8.84
11,Lionel Messi,2014/2015,Barcelona,Europe-UEFA-Champions-League,UCL,13,1146,56,22,5,29,8.9
12,Lionel Messi,2013/2014,Barcelona,Spain-La-Liga,SLL,31,2508,155,58,8,89,8.34
13,Lionel Messi,2013/2014,Barcelona,Europe-UEFA-Champions-League,UCL,7,630,33,13,-,20,8.37
14,Lionel Messi,2014,Argentina,International-FIFA-World-Cup,WC,7,603,21,15,-,6,8.26
15,Lionel Messi,2012/2013,Barcelona,Spain-La-Liga,SLL,32,2644,163,62,10,91,8.83
16,Lionel Messi,2012/2013,Barcelona,Europe-UEFA-Champions-League,UCL,11,827,41,21,3,17,7.75
17,Lionel Messi,2011/2012,Barcelona,Spain-La-Liga,SLL,37,3268,202,63,17,122,8.88
18,Lionel Messi,2011/2012,Barcelona,Europe-UEFA-Champions-League,UCL,11,990,76,29,9,38,8.88
19,Lionel Messi,2010/2011,Barcelona,Spain-La-Liga,SLL,33,2859,150,38,14,98,8.76
20,Lionel Messi,2010/2011,Barcelona,Europe-UEFA-Champions-League,UCL,13,1048,69,24,6,39,8.87
