,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Total_Aerial_Duels,Won,Lost,Rating,Total_Shots,OutOfBox,SixYardBox,PenaltyArea,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Unsuccessful,Successful,Total_Dribbles,UnsuccessfulTouches,Dispossessed,TotalTackles,DribbledPast,TotalAttemptedTackles,Total_Interceptions,Fouled,Fouls,Yellow,Red,CaughtOffside,Total_Clearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Total_Saves,Saves_In_SixYardBox,Saves_In_PenaltyArea,Saves_From_OutOfBox,Total_Passes,AccLB,InAccLB,AccSP,InAccSP,Total_Key_Passes,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists
0,Łukasz Fabiański,2017/2018,Swansea,England-Premier-League,EPL,38,3420,19,15,4,6.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,25,-,-,-,136,7,84,45,1113,340,517,254,2,1,1,-,-,-,-,-,-,-,-
1,Łukasz Fabiański,2016/2017,Swansea,England-Premier-League,EPL,37,3330,14,14,-,6.7,-,-,-,-,-,-,-,-,-,-,-,1,-,3,2,5,1,3,1,1,-,-,20,-,-,-,115,7,57,51,928,333,371,219,5,-,-,-,-,-,-,-,-,-,-
2,Łukasz Fabiański,2015/2016,Swansea,England-Premier-League,EPL,37,3330,16,16,-,6.87,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,1,9,1,1,-,-,40,-,1,1,115,5,56,54,1000,271,418,309,2,2,2,-,-,-,-,-,-,1,1
3,Łukasz Fabiański,2014/2015,Swansea,England-Premier-League,EPL,37,3308,17,17,-,7.09,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,4,2,12,1,-,1,-,37,-,-,1,137,10,67,60,1040,289,458,291,2,-,-,-,-,-,-,-,-,-,-
4,Łukasz Fabiański,2016,Poland,International-European-Championship,UEC,4,360,3,3,-,7.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,3,-,-,-,16,-,6,10,127,43,53,31,-,-,-,-,-,-,-,-,-,-,-
5,Łukasz Fabiański,2013/2014,Arsenal,Europe-UEFA-Champions-League,UCL,2,141,-,-,-,7.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,7,-,4,3,55,21,31,3,-,-,-,-,-,-,-,-,-,-,-
6,Łukasz Fabiański,2013/2014,Arsenal,England-Premier-League,EPL,1,90,-,-,-,7.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,3,2,35,6,13,16,-,-,-,-,-,-,-,-,-,-,-
7,Łukasz Fabiański,2012/2013,Arsenal,Europe-UEFA-Champions-League,UCL,1,90,-,-,-,8.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,5,-,2,3,30,14,10,4,2,-,-,-,-,-,-,-,-,-,-
8,Łukasz Fabiański,2012/2013,Arsenal,England-Premier-League,EPL,4,360,-,-,-,6.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,7,-,5,2,116,42,47,21,6,-,-,-,-,-,-,-,-,-,-
9,Łukasz Fabiański,2011/2012,Arsenal,Europe-UEFA-Champions-League,UCL,1,28,-,-,-,5.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,2,3,5,4,-,-,-,-,-,-,-,-,-,-
10,Łukasz Fabiański,2010/2011,Arsenal,Europe-UEFA-Champions-League,UCL,5,450,-,-,-,6.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,15,-,9,6,92,31,31,29,1,-,-,-,-,-,-,-,-,-,-
11,Łukasz Fabiański,2010/2011,Arsenal,England-Premier-League,EPL,14,1260,4,2,2,6.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,20,-,-,-,34,1,15,18,316,71,168,71,6,1,1,-,-,-,-,-,-,1,1
12,Łukasz Fabiański,2009/2010,Arsenal,Europe-UEFA-Champions-League,UCL,1,90,-,-,-,7.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,3,-,2,1,23,5,5,13,-,-,-,-,-,-,-,-,-,-,-
13,Łukasz Fabiański,2009/2010,Arsenal,England-Premier-League,EPL,4,360,3,3,-,6.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,8,-,-,-,9,-,3,6,104,21,56,24,3,-,-,-,-,-,-,-,-,-,-
14,Danijel Subašic,2017/2018,Monaco,Europe-UEFA-Champions-League,UCL,3,270,-,-,-,5.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,4,-,78,20,33,25,-,-,-,-,-,-,-,-,-,-,-
15,Danijel Subašic,2017/2018,Monaco,France-Ligue-1,FL1,34,2941,11,10,1,6.57,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,2,-,5,-,3,-,-,21,-,-,1,85,-,40,45,766,186,274,302,4,1,1,-,-,-,-,-,-,-,-
16,Danijel Subašic,2016/2017,Monaco,Europe-UEFA-Champions-League,UCL,11,990,1,1,-,6.5,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,1,1,-,1,-,-,11,-,-,1,28,1,16,11,295,68,154,73,-,-,-,-,-,-,-,-,-,-,-
17,Danijel Subašic,2016/2017,Monaco,France-Ligue-1,FL1,36,3240,8,8,-,6.9,-,-,-,-,-,-,-,-,-,2,2,1,-,1,-,1,1,8,-,1,-,-,19,-,-,-,82,4,51,27,911,249,335,326,1,1,-,1,-,-,-,-,-,-,-
18,Danijel Subašic,2015/2016,Monaco,Europe-UEFA-Europa-League,UEL,6,540,-,-,-,6.45,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,19,1,12,6,126,36,48,42,-,-,-,-,-,-,-,-,-,-,-
19,Danijel Subašic,2015/2016,Monaco,France-Ligue-1,FL1,36,3240,5,5,-,6.78,-,-,-,-,-,-,-,-,-,3,3,2,1,2,2,4,3,2,-,3,-,-,23,-,-,-,115,4,61,50,844,258,386,198,2,1,1,-,-,-,-,-,-,-,-
